id,name,zone,ubicacion_full,distrito2,calle,barrio,barrio2,distrito,area,price,price_before,square_mt,rooms,wc,terraza,balcon,estado,año,armarios,cocina,amueblado,planta,calef,asc,aire,exterior,datalles2,cp,actualizacion,actualizacion2,extract_day
100372769,Alquiler de Piso en paseo de Torras i Bages,"Sant Andreu, Barcelona","Paseo de Torras i Bages||Barrio Sant Andreu||Distrito Sant Andreu||Barcelona||Área de Barcelona, Barcelona",Distrito Sant Andreu,Paseo de Torras i Bages,Barrio Sant Andreu,Barrio Sant Andreu,Distrito Sant Andreu,"Área de Barcelona, Barcelona",1200,1200,89,3,2,1,0,segunda mano/buen estado,,0,1,1,0,0,1,0,1,||en trámite|||,08030,Anuncio actualizado hace un día,Anuncio actualizado el 3 de febrero,2023-02-04
34573664,"Alquiler de Piso en calle de sant adrià, 34","Sant Andreu, Barcelona","Calle de sant adrià, 34||Barrio Sant Andreu||Distrito Sant Andreu||Barcelona||Área de Barcelona, Barcelona",Distrito Sant Andreu,"Calle de sant adrià, 34",Barrio Sant Andreu,Barrio Sant Andreu,Distrito Sant Andreu,"Área de Barcelona, Barcelona",1000,1000,67,3,1,0,1,segunda mano/buen estado,1964,0,0,0,9,1,1,0,1,||consumo: |312 kwh/m² año|||emisiones: |65 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08030,Anuncio actualizado hace un día,Anuncio actualizado el 3 de febrero,2023-02-04
100368311,Alquiler de Estudio en calle del Llenguadoc,"Sant Andreu, Barcelona","Calle del Llenguadoc||Barrio Sant Andreu||Distrito Sant Andreu||Barcelona||Área de Barcelona, Barcelona",Distrito Sant Andreu,Calle del Llenguadoc,Barrio Sant Andreu,Barrio Sant Andreu,Distrito Sant Andreu,"Área de Barcelona, Barcelona",900,900,50,0,1,1,0,segunda mano/buen estado,,0,0,0,0,1,0,1,1,||aire acondicionado||||no indicado|||,08030,Anuncio actualizado hace un día,Anuncio actualizado el 3 de febrero,2023-02-04
100362082,Alquiler de Piso en paseo de Torras i Bages,"Sant Andreu, Barcelona","Paseo de Torras i Bages||Barrio Sant Andreu||Distrito Sant Andreu||Barcelona||Área de Barcelona, Barcelona",Distrito Sant Andreu,Paseo de Torras i Bages,Barrio Sant Andreu,Barrio Sant Andreu,Distrito Sant Andreu,"Área de Barcelona, Barcelona",890,890,67,3,1,0,0,segunda mano/buen estado,,0,0,0,8,0,1,0,0,||consumo: |155 kwh/m² año|||emisiones: |39 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08030,Anuncio actualizado hace 2 días,Anuncio actualizado el 2 de febrero,2023-02-04
99894042,Alquiler de Piso en calle Mateu Ferran,"Sant Andreu, Barcelona","Calle Mateu Ferran||Barrio Sant Andreu||Distrito Sant Andreu||Barcelona||Área de Barcelona, Barcelona",Distrito Sant Andreu,Calle Mateu Ferran,Barrio Sant Andreu,Barrio Sant Andreu,Distrito Sant Andreu,"Área de Barcelona, Barcelona",1350,1350,110,4,2,0,1,segunda mano/buen estado,1940,0,0,0,0,1,1,0,1,||consumo: |151 kwh/m² año|||emisiones: |31 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08030,Anuncio actualizado hace un día,Anuncio actualizado el 3 de febrero,2023-02-04
99354000,"Alquiler de Piso en calle del Vallès, 5","Sant Andreu, Barcelona","Calle del Vallès, 5||Barrio Sant Andreu||Distrito Sant Andreu||Barcelona||Área de Barcelona, Barcelona",Distrito Sant Andreu,"Calle del Vallès, 5",Barrio Sant Andreu,Barrio Sant Andreu,Distrito Sant Andreu,"Área de Barcelona, Barcelona",2000,2000,45,1,1,0,0,segunda mano/buen estado,,0,1,1,2,0,0,0,0,||no indicado|||,08030,Anuncio actualizado hace 9 horas,Anuncio actualizado el 4 de febrero,2023-02-04
99216237,"Alquiler de Piso en calle del Vallès, 1","Sant Andreu, Barcelona","Calle del Vallès, 1||Barrio Sant Andreu||Distrito Sant Andreu||Barcelona||Área de Barcelona, Barcelona",Distrito Sant Andreu,"Calle del Vallès, 1",Barrio Sant Andreu,Barrio Sant Andreu,Distrito Sant Andreu,"Área de Barcelona, Barcelona",1850,1850,60,1,1,0,0,segunda mano/buen estado,,0,1,1,0,0,0,0,0,||no indicado|||,08030,Anuncio actualizado hace 9 horas,Anuncio actualizado el 4 de febrero,2023-02-04
99082855,"Alquiler de Piso en calle del Vallès, 5","Sant Andreu, Barcelona","Calle del Vallès, 5||Barrio Sant Andreu||Distrito Sant Andreu||Barcelona||Área de Barcelona, Barcelona",Distrito Sant Andreu,"Calle del Vallès, 5",Barrio Sant Andreu,Barrio Sant Andreu,Distrito Sant Andreu,"Área de Barcelona, Barcelona",2000,2000,65,1,1,0,0,segunda mano/buen estado,,0,0,0,3,0,0,0,0,||no indicado|||,08030,Anuncio actualizado hace 9 horas,Anuncio actualizado el 4 de febrero,2023-02-04
99082868,"Alquiler de Piso en calle del Vallès, 5","Sant Andreu, Barcelona","Calle del Vallès, 5||Barrio Sant Andreu||Distrito Sant Andreu||Barcelona||Área de Barcelona, Barcelona",Distrito Sant Andreu,"Calle del Vallès, 5",Barrio Sant Andreu,Barrio Sant Andreu,Distrito Sant Andreu,"Área de Barcelona, Barcelona",2000,2000,45,1,1,0,0,segunda mano/buen estado,,0,1,1,0,0,0,0,0,||no indicado|||,08030,Anuncio actualizado hace 9 horas,Anuncio actualizado el 4 de febrero,2023-02-04
99082853,"Alquiler de Piso en calle del Vallès, 5","Sant Andreu, Barcelona","Calle del Vallès, 5||Barrio Sant Andreu||Distrito Sant Andreu||Barcelona||Área de Barcelona, Barcelona",Distrito Sant Andreu,"Calle del Vallès, 5",Barrio Sant Andreu,Barrio Sant Andreu,Distrito Sant Andreu,"Área de Barcelona, Barcelona",2200,2200,45,2,1,0,0,segunda mano/buen estado,,0,1,1,1,0,0,0,0,||no indicado|||,08030,Anuncio actualizado hace 9 horas,Anuncio actualizado el 4 de febrero,2023-02-04
