id,name,zone,ubicacion_full,distrito2,calle,barrio,barrio2,distrito,area,price,price_before,square_mt,rooms,wc,terraza,balcon,estado,año,armarios,cocina,amueblado,planta,calef,asc,aire,exterior,datalles2,cp,actualizacion,actualizacion2,extract_day
100380327,"Alquiler de Piso en calle de El Escorial, 9","Vila de Gràcia, Barcelona","Calle de El Escorial, 9||Barrio Vila de Gràcia||Distrito Gràcia||Barcelona||Área de Barcelona, Barcelona",Distrito Gràcia,"Calle de El Escorial, 9",Barrio Vila de Gràcia,Barrio Vila de Gràcia,Distrito Gràcia,"Área de Barcelona, Barcelona",1490,1490,100,4,3,0,0,segunda mano/buen estado,1946,1,0,0,4,1,1,1,1,||aire acondicionado||||consumo: ||||emisiones: ||||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08024,Anuncio actualizado hace 10 horas,Anuncio actualizado el 4 de febrero,2023-02-04
100037667,Alquiler de Piso en calle de Sors,"El Camp d'En Grassot i Gràcia Nova, Barcelona","Calle de Sors||Urb. Vila de Gràcia||Barrio El Camp d'En Grassot i Gràcia Nova||Distrito Gràcia||Barcelona||Área de Barcelona, Barcelona",Distrito Gràcia,Calle de Sors,Urb. Vila de Gràcia,Barrio El Camp d'En Grassot i Gràcia Nova,Barrio El Camp d'En Grassot i Gràcia Nova,Barcelona,2620,2620,90,3,1,0,0,segunda mano/buen estado,1965,0,1,1,3,1,1,1,1,||aire acondicionado||||en trámite|||,08024,Anuncio actualizado hace una hora,Anuncio actualizado el 4 de febrero,2023-02-04
100377235,Alquiler de Piso en Vila de Gràcia,"Gràcia, Barcelona","||Barrio Vila de Gràcia||Distrito Gràcia||Barcelona||Área de Barcelona, Barcelona",Distrito Gràcia,,Barrio Vila de Gràcia,Barrio Vila de Gràcia,Distrito Gràcia,"Área de Barcelona, Barcelona",780,780,44,1,1,0,0,segunda mano/buen estado,1945,0,1,1,1,0,0,0,1,||no indicado|||,08024,Anuncio actualizado hace 21 horas,Anuncio actualizado el 3 de febrero,2023-02-04
100176019,Alquiler de Piso en calle de les Camèlies,"El Camp d'En Grassot i Gràcia Nova, Barcelona","Calle de les Camèlies||Barrio El Camp d'En Grassot i Gràcia Nova||Distrito Gràcia||Barcelona||Área de Barcelona, Barcelona",Distrito Gràcia,Calle de les Camèlies,Barrio El Camp d'En Grassot i Gràcia Nova,Barrio El Camp d'En Grassot i Gràcia Nova,Distrito Gràcia,"Área de Barcelona, Barcelona",1900,1900,75,2,1,0,0,segunda mano/buen estado,2021,1,1,1,4,1,1,1,1,||aire acondicionado||||consumo: |75 kwh/m² año|||emisiones: |70 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08024,Anuncio actualizado hace 7 horas,Anuncio actualizado el 4 de febrero,2023-02-04
100369848,Alquiler de Piso en avenida de la Mare de Déu de Montserrat,"El Baix Guinardó, Barcelona","Avenida de la Mare de Déu de Montserrat||Barrio El Baix Guinardó||Distrito Horta Guinardó||Barcelona||Área de Barcelona, Barcelona",Distrito Horta Guinardó,Avenida de la Mare de Déu de Montserrat,Barrio El Baix Guinardó,Barrio El Baix Guinardó,Distrito Horta Guinardó,"Área de Barcelona, Barcelona",1250,1250,75,3,2,1,0,segunda mano/buen estado,,1,0,0,3,1,1,1,1,||aire acondicionado||||consumo: |214 kwh/m² año|||emisiones: |36 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08024,Anuncio actualizado hace un día,Anuncio actualizado el 3 de febrero,2023-02-04
96484692,Alquiler de Piso en calle de l'Escorial,"Vila de Gràcia, Barcelona","Calle de l'Escorial||Barrio Vila de Gràcia||Distrito Gràcia||Barcelona||Área de Barcelona, Barcelona",Distrito Gràcia,Calle de l'Escorial,Barrio Vila de Gràcia,Barrio Vila de Gràcia,Distrito Gràcia,"Área de Barcelona, Barcelona",1250,1250,45,2,1,0,0,segunda mano/buen estado,,1,0,0,6,0,1,1,1,||aire acondicionado||||no indicado|||,08024,Anuncio actualizado hace 9 horas,Anuncio actualizado el 4 de febrero,2023-02-04
100364032,Alquiler de Piso en calle de Niça,"El Baix Guinardó, Barcelona","Calle de Niça||Barrio El Baix Guinardó||Distrito Horta Guinardó||Barcelona||Área de Barcelona, Barcelona",Distrito Horta Guinardó,Calle de Niça,Barrio El Baix Guinardó,Barrio El Baix Guinardó,Distrito Horta Guinardó,"Área de Barcelona, Barcelona",950,950,60,3,1,1,1,segunda mano/buen estado,1960,0,1,0,2,0,1,0,1,||consumo: |172 kwh/m² año|||emisiones: |172 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08024,Anuncio actualizado hace un día,Anuncio actualizado el 2 de febrero,2023-02-04
99814757,Alquiler de Piso en calle del Cardener,"Vila de Gràcia, Barcelona","Calle del Cardener||Barrio Vila de Gràcia||Distrito Gràcia||Barcelona||Área de Barcelona, Barcelona",Distrito Gràcia,Calle del Cardener,Barrio Vila de Gràcia,Barrio Vila de Gràcia,Distrito Gràcia,"Área de Barcelona, Barcelona",1050,1050,70,2,1,0,0,segunda mano/buen estado,,1,0,0,0,0,0,0,1,||consumo: |168 kwh/m² año|||emisiones: |41 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08024,Anuncio actualizado hace 15 horas,Anuncio actualizado el 4 de febrero,2023-02-04
100361850,Alquiler de Estudio en calle de les Camèlies,"El Baix Guinardó, Barcelona","Calle de les Camèlies||Barrio El Baix Guinardó||Distrito Horta Guinardó||Barcelona||Área de Barcelona, Barcelona",Distrito Horta Guinardó,Calle de les Camèlies,Barrio El Baix Guinardó,Barrio El Baix Guinardó,Distrito Horta Guinardó,"Área de Barcelona, Barcelona",750,750,42,0,1,0,0,segunda mano/buen estado,1965,0,1,0,0,1,0,1,1,||aire acondicionado||||consumo: ||||emisiones: ||||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08024,Anuncio actualizado hace un día,Anuncio actualizado el 2 de febrero,2023-02-04
96075127,Alquiler de Ático en Providencia,"Vila de Gràcia, Barcelona","Providencia||Barrio Vila de Gràcia||Distrito Gràcia||Barcelona||Área de Barcelona, Barcelona",Distrito Gràcia,Providencia,Barrio Vila de Gràcia,Barrio Vila de Gràcia,Distrito Gràcia,"Área de Barcelona, Barcelona",1800,1800,67,3,1,1,1,segunda mano/buen estado,1964,0,1,1,4,1,1,1,1,||aire acondicionado||||en trámite|||,08024,Anuncio actualizado hace 18 horas,Anuncio actualizado el 4 de febrero,2023-02-04
28423808,Alquiler de Piso en avenida Can Baró,"Can Baró, Barcelona","Avenida Can Baró||Barrio Can Baró||Distrito Horta Guinardó||Barcelona||Área de Barcelona, Barcelona",Distrito Horta Guinardó,Avenida Can Baró,Barrio Can Baró,Barrio Can Baró,Distrito Horta Guinardó,"Área de Barcelona, Barcelona",825,825,50,1,1,0,1,segunda mano/buen estado,,0,1,0,2,0,0,0,0,||consumo: |144 kwh/m² año|||emisiones: |36 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08024,Anuncio actualizado hace 2 días,Anuncio actualizado el 2 de febrero,2023-02-04
90471331,"Alquiler de Piso en Providencia, 11","Vila de Gràcia, Barcelona","Providencia, 11||Barrio Vila de Gràcia||Distrito Gràcia||Barcelona||Área de Barcelona, Barcelona",Distrito Gràcia,"Providencia, 11",Barrio Vila de Gràcia,Barrio Vila de Gràcia,Distrito Gràcia,"Área de Barcelona, Barcelona",1700,1700,95,3,2,0,0,segunda mano/buen estado,,1,1,1,1,1,1,0,1,||en trámite|||,08024,Anuncio actualizado hace 18 horas,Anuncio actualizado el 4 de febrero,2023-02-04
100359938,Alquiler de Dúplex en calle de l'Encarnació,"El Camp d'En Grassot i Gràcia Nova, Barcelona","Calle de l'Encarnació||Barrio El Camp d'En Grassot i Gràcia Nova||Distrito Gràcia||Barcelona||Área de Barcelona, Barcelona",Distrito Gràcia,Calle de l'Encarnació,Barrio El Camp d'En Grassot i Gràcia Nova,Barrio El Camp d'En Grassot i Gràcia Nova,Distrito Gràcia,"Área de Barcelona, Barcelona",2150,2150,124,2,3,0,0,segunda mano/buen estado,2016,1,1,1,0,1,1,0,1,||aire acondicionado|||zonas verdes||||consumo: |73 kwh/m² año|||emisiones: |14 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08024,Anuncio actualizado hace un día,Anuncio actualizado el 2 de febrero,2023-02-04
100234102,Alquiler de Piso en calle de les Camèlies,"El Camp d'En Grassot i Gràcia Nova, Barcelona","Calle de les Camèlies||Barrio El Camp d'En Grassot i Gràcia Nova||Distrito Gràcia||Barcelona||Área de Barcelona, Barcelona",Distrito Gràcia,Calle de les Camèlies,Barrio El Camp d'En Grassot i Gràcia Nova,Barrio El Camp d'En Grassot i Gràcia Nova,Distrito Gràcia,"Área de Barcelona, Barcelona",1900,1900,75,2,2,0,0,segunda mano/buen estado,2021,1,1,1,4,1,1,1,1,||aire acondicionado||||consumo: |70 kwh/m² año|||emisiones: |75 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08024,Anuncio actualizado hace 22 horas,Anuncio actualizado el 3 de febrero,2023-02-04
100359593,Alquiler de Piso en Alegre de Dalt,"El Camp d'En Grassot i Gràcia Nova, Barcelona","Alegre de Dalt||Barrio El Camp d'En Grassot i Gràcia Nova||Distrito Gràcia||Barcelona||Área de Barcelona, Barcelona",Distrito Gràcia,Alegre de Dalt,Barrio El Camp d'En Grassot i Gràcia Nova,Barrio El Camp d'En Grassot i Gràcia Nova,Distrito Gràcia,"Área de Barcelona, Barcelona",1200,1200,81,4,2,0,0,segunda mano/buen estado,1980,1,1,1,0,1,1,1,1,||aire acondicionado||||consumo: |77 kwh/m² año|||emisiones: |15 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08024,Anuncio actualizado hace 2 días,Anuncio actualizado el 2 de febrero,2023-02-04
100049281,Alquiler de Piso en calle del Cardener,"Vila de Gràcia, Barcelona","Calle del Cardener||Barrio Vila de Gràcia||Distrito Gràcia||Barcelona||Área de Barcelona, Barcelona",Distrito Gràcia,Calle del Cardener,Barrio Vila de Gràcia,Barrio Vila de Gràcia,Distrito Gràcia,"Área de Barcelona, Barcelona",1600,1600,65,2,1,1,0,segunda mano/buen estado,2018,0,0,0,2,1,1,1,1,||aire acondicionado||||consumo: |53 kwh/m² año|||emisiones: |11 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08024,Anuncio actualizado hace 23 horas,Anuncio actualizado el 3 de febrero,2023-02-04
100359045,Alquiler de Ático en calle de Verdi,"Vila de Gràcia, Barcelona","Calle de Verdi||Urb. Vila de Gràcia||Barrio Vila de Gràcia||Distrito Gràcia||Barcelona||Área de Barcelona, Barcelona",Distrito Gràcia,Calle de Verdi,Urb. Vila de Gràcia,Barrio Vila de Gràcia,Barrio Vila de Gràcia,Barcelona,1290,1290,58,2,1,1,0,segunda mano/buen estado,1969,1,0,0,3,1,0,1,1,||aire acondicionado||||consumo: |156 kwh/m² año|||emisiones: |32 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08024,Anuncio actualizado hace 2 días,Anuncio actualizado el 2 de febrero,2023-02-04
100352860,Alquiler de Ático en calle de la Providència,"El Camp d'En Grassot i Gràcia Nova, Barcelona","Calle de la Providència||Barrio El Camp d'En Grassot i Gràcia Nova||Distrito Gràcia||Barcelona||Área de Barcelona, Barcelona",Distrito Gràcia,Calle de la Providència,Barrio El Camp d'En Grassot i Gràcia Nova,Barrio El Camp d'En Grassot i Gràcia Nova,Distrito Gràcia,"Área de Barcelona, Barcelona",1300,1300,55,1,1,1,0,segunda mano/buen estado,1964,0,0,0,6,1,1,1,1,||aire acondicionado||||consumo: |112 kwh/m² año|||emisiones: |40 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08024,Anuncio actualizado hace 2 días,Anuncio actualizado el 2 de febrero,2023-02-04
100350571,"Alquiler de Ático en calle de Sant Salvador, 77","Vila de Gràcia, Barcelona","Calle de Sant Salvador, 77||Barrio Vila de Gràcia||Distrito Gràcia||Barcelona||Área de Barcelona, Barcelona",Distrito Gràcia,"Calle de Sant Salvador, 77",Barrio Vila de Gràcia,Barrio Vila de Gràcia,Distrito Gràcia,"Área de Barcelona, Barcelona",1100,1100,75,1,1,1,0,segunda mano/buen estado,1930,0,1,0,4,1,0,1,1,||aire acondicionado||||en trámite|||,08024,Anuncio actualizado hace 2 días,Anuncio actualizado el 2 de febrero,2023-02-04
100343971,Alquiler de Piso en calle de les Camèlies,"El Camp d'En Grassot i Gràcia Nova, Barcelona","Calle de les Camèlies||Barrio El Camp d'En Grassot i Gràcia Nova||Distrito Gràcia||Barcelona||Área de Barcelona, Barcelona",Distrito Gràcia,Calle de les Camèlies,Barrio El Camp d'En Grassot i Gràcia Nova,Barrio El Camp d'En Grassot i Gràcia Nova,Distrito Gràcia,"Área de Barcelona, Barcelona",1150,1150,41,1,1,0,0,segunda mano/buen estado,2014,1,0,0,5,1,1,1,1,||aire acondicionado||||consumo: |54 kwh/m² año|||emisiones: |13 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08024,Anuncio actualizado hace 3 días,Anuncio actualizado el 1 de febrero,2023-02-04
100287785,Alquiler de Piso en calle de Sant Lluís,"Vila de Gràcia, Barcelona","Calle de Sant Lluís||Barrio Vila de Gràcia||Distrito Gràcia||Barcelona||Área de Barcelona, Barcelona",Distrito Gràcia,Calle de Sant Lluís,Barrio Vila de Gràcia,Barrio Vila de Gràcia,Distrito Gràcia,"Área de Barcelona, Barcelona",2500,2500,180,4,4,1,0,segunda mano/buen estado,1970,1,1,0,1,1,1,0,1,||consumo: |151 kwh/m² año|||emisiones: |32 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08024,Anuncio actualizado hace un día,Anuncio actualizado el 3 de febrero,2023-02-04
