id,name,zone,ubicacion_full,distrito2,calle,barrio,barrio2,distrito,area,price,price_before,square_mt,rooms,wc,terraza,balcon,estado,año,armarios,cocina,amueblado,planta,calef,asc,aire,exterior,datalles2,cp,actualizacion,actualizacion2,extract_day
90377730,"Alquiler de Piso en calle d'Antoni de Capmany, 63","Sants, Barcelona","Calle d'Antoni de Capmany, 63||Barrio Sants||Distrito Sants-Montjuïc||Barcelona||Área de Barcelona, Barcelona",Distrito Sants-Montjuïc,"Calle d'Antoni de Capmany, 63",Barrio Sants,Barrio Sants,Distrito Sants-Montjuïc,"Área de Barcelona, Barcelona",1200,1200,85,3,1,0,0,segunda mano/buen estado,,0,1,0,7,0,1,0,1,||en trámite|||,08028,Anuncio actualizado hace 6 horas,Anuncio actualizado el 7 de abril,2023-04-07
100569822,"Alquiler de Piso en avenida de Madrid, 9","La Maternitat i Sant Ramon, Barcelona","Avenida de Madrid, 9||Barrio La Maternitat i Sant Ramon||Distrito Les Corts||Barcelona||Área de Barcelona, Barcelona",Distrito Les Corts,"Avenida de Madrid, 9",Barrio La Maternitat i Sant Ramon,Barrio La Maternitat i Sant Ramon,Distrito Les Corts,"Área de Barcelona, Barcelona",2360,2360,76,3,2,1,1,segunda mano/buen estado,1980,0,1,1,6,1,1,1,1,||aire acondicionado||||en trámite|||,08028,Anuncio actualizado hace 2 horas,Anuncio actualizado el 7 de abril,2023-04-07
101045084,Alquiler de Piso en calle de Sants,"Sants - Badal, Barcelona","Calle de Sants||Barrio Sants - Badal||Distrito Sants-Montjuïc||Barcelona||Área de Barcelona, Barcelona",Distrito Sants-Montjuïc,Calle de Sants,Barrio Sants - Badal,Barrio Sants - Badal,Distrito Sants-Montjuïc,"Área de Barcelona, Barcelona",1300,1300,91,4,2,1,0,segunda mano/buen estado,1970,0,0,0,1,0,1,0,0,||consumo: |120 kwh/m² año|||emisiones: |25 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08028,Anuncio actualizado hace un día,Anuncio actualizado el 6 de abril,2023-04-07
100981410,Alquiler de Ático en calle del Miracle,"Sants, Barcelona","Calle del Miracle||Barrio Sants||Distrito Sants-Montjuïc||Barcelona||Área de Barcelona, Barcelona",Distrito Sants-Montjuïc,Calle del Miracle,Barrio Sants,Barrio Sants,Distrito Sants-Montjuïc,"Área de Barcelona, Barcelona",1740,1740,85,3,2,1,1,segunda mano/buen estado,,0,1,1,3,0,1,0,1,||piscina||||consumo: ||||emisiones: ||||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08028,Anuncio actualizado hace 4 horas,Anuncio actualizado el 7 de abril,2023-04-07
101044622,Alquiler de Piso en calle de Bacardí,"Sants - Badal, Barcelona","Calle de Bacardí||Urb. Sants-Badal||Barrio Sants - Badal||Distrito Sants-Montjuïc||Barcelona||Área de Barcelona, Barcelona",Distrito Sants-Montjuïc,Calle de Bacardí,Urb. Sants-Badal,Barrio Sants - Badal,Barrio Sants - Badal,Barcelona,975,975,54,3,1,0,0,segunda mano/buen estado,,0,0,0,1,0,0,0,1,||consumo: |142 kwh/m² año|||emisiones: |35 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08028,Anuncio actualizado hace un día,Anuncio actualizado el 6 de abril,2023-04-07
101007964,Alquiler de Piso en calle del Tenor Masini,"Sants, Barcelona","Calle del Tenor Masini||Barrio Sants||Distrito Sants-Montjuïc||Barcelona||Área de Barcelona, Barcelona",Distrito Sants-Montjuïc,Calle del Tenor Masini,Barrio Sants,Barrio Sants,Distrito Sants-Montjuïc,"Área de Barcelona, Barcelona",1200,1200,90,3,2,0,1,segunda mano/buen estado,,1,1,1,5,1,1,1,1,||aire acondicionado||||en trámite|||,08028,Anuncio actualizado hace 7 horas,Anuncio actualizado el 7 de abril,2023-04-07
101043749,Alquiler de Piso en calle d'Europa,"Les Corts, Barcelona","Calle d'Europa||Barrio Les Corts||Distrito Les Corts||Barcelona||Área de Barcelona, Barcelona",Distrito Les Corts,Calle d'Europa,Barrio Les Corts,Barrio Les Corts,Distrito Les Corts,"Área de Barcelona, Barcelona",1350,1350,68,3,2,0,1,segunda mano/buen estado,1955,1,0,0,12,1,1,0,0,"||consumo: |264,75 kwh/m² año|||emisiones: |55,85 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",08028,Anuncio actualizado hace un día,Anuncio actualizado el 6 de abril,2023-04-07
95245256,Alquiler de Piso en calle del Pintor Pahissa,"La Maternitat i Sant Ramon, Barcelona","Calle del Pintor Pahissa||Barrio La Maternitat i Sant Ramon||Distrito Les Corts||Barcelona||Área de Barcelona, Barcelona",Distrito Les Corts,Calle del Pintor Pahissa,Barrio La Maternitat i Sant Ramon,Barrio La Maternitat i Sant Ramon,Distrito Les Corts,"Área de Barcelona, Barcelona",1400,1400,65,2,1,1,0,segunda mano/buen estado,,0,1,1,1,1,1,1,0,||aire acondicionado||||consumo: |130 kwh/m² año|||emisiones: |30 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08028,Anuncio actualizado hace 9 horas,Anuncio actualizado el 7 de abril,2023-04-07
101043061,Alquiler de Piso en calle de Lluçà,"Les Corts, Barcelona","Calle de Lluçà||Barrio Les Corts||Distrito Les Corts||Barcelona||Área de Barcelona, Barcelona",Distrito Les Corts,Calle de Lluçà,Barrio Les Corts,Barrio Les Corts,Distrito Les Corts,"Área de Barcelona, Barcelona",1675,1675,87,3,2,1,0,segunda mano/buen estado,1980,1,0,0,3,1,1,1,1,||aire acondicionado||||en trámite|||,08028,Anuncio actualizado hace un día,Anuncio actualizado el 6 de abril,2023-04-07
100858410,Alquiler de Piso en calle de Miquel Àngel,"Sants, Barcelona","Calle de Miquel Àngel||Barrio Sants||Distrito Sants-Montjuïc||Barcelona||Área de Barcelona, Barcelona",Distrito Sants-Montjuïc,Calle de Miquel Àngel,Barrio Sants,Barrio Sants,Distrito Sants-Montjuïc,"Área de Barcelona, Barcelona",1600,1600,69,2,1,0,0,segunda mano/buen estado,,0,1,1,2,1,0,1,1,||aire acondicionado||||consumo: |130 kwh/m² año|||emisiones: |30 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08028,Anuncio actualizado hace 9 horas,Anuncio actualizado el 7 de abril,2023-04-07
