id,name,zone,ubicacion_full,calle,barrio,barrio2,distrito,area,price,price_before,square_mt,rooms,wc,terraza,balcon,estado,año,armarios,cocina,amueblado,planta,calef,asc,aire,exterior,datalles2,cp,actualizacion,actualizacion2,extract_day,distrito2
101073759,Alquiler de Piso en calle d'Aragó,"La Dreta de l'Eixample, Barcelona","Calle d'Aragó|Urb. Eixample dreta|Barrio La Dreta de l'Eixample|Distrito Eixample|Barcelona|Área de Barcelona, Barcelona",Calle d'Aragó,Urb. Eixample dreta,Barrio La Dreta de l'Eixample,Barrio La Dreta de l'Eixample,Barcelona,800,800,40,2,1,0,0,segunda mano/buen estado,,0,0,0,5,0,0,0,1,||consumo: |594 kwh/m² año|||emisiones: |154 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,8001,Anuncio actualizado hace 34 minutos,Anuncio actualizado el 11 de abril,2023-04-11,Distrito Eixample
86253674,Alquiler de Piso en calle de Gravina,"El Raval, Barcelona","Calle de Gravina|Urb. Universitat|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona",Calle de Gravina,Urb. Universitat,Barrio El Raval,Barrio El Raval,Barcelona,3100,3300,110,3,2,1,1,segunda mano/buen estado,1912.0,1,1,1,3,1,1,1,1,||aire acondicionado||||en trámite|||,8001,Anuncio actualizado hace 58 minutos,Anuncio actualizado el 11 de abril,2023-04-11,Distrito Ciutat Vella
101073549,Alquiler de Piso en calle de Picalquers,"El Raval, Barcelona","Calle de Picalquers|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona",Calle de Picalquers,Barrio El Raval,Barrio El Raval,Distrito Ciutat Vella,"Área de Barcelona, Barcelona",725,725,35,1,1,0,0,segunda mano/buen estado,,1,1,1,4,0,0,1,1,||aire acondicionado||||consumo: ||||emisiones: ||||ver etiqueta de calificación energética|ocultar etiqueta|||||||,8001,Anuncio actualizado hace 49 minutos,Anuncio actualizado el 11 de abril,2023-04-11,Distrito Ciutat Vella
101026562,Alquiler de Piso en avenida de les Drassanes,"El Raval, Barcelona","Avenida de les Drassanes|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona",Avenida de les Drassanes,Barrio El Raval,Barrio El Raval,Distrito Ciutat Vella,"Área de Barcelona, Barcelona",1500,1500,75,3,1,0,1,segunda mano/buen estado,,0,1,1,5,1,1,1,1,||aire acondicionado||||en trámite|||,8001,Anuncio actualizado hace una hora,Anuncio actualizado el 11 de abril,2023-04-11,Distrito Ciutat Vella
98751784,Alquiler de Ático en calle del Carme,"El Raval, Barcelona","Calle del Carme|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona",Calle del Carme,Barrio El Raval,Barrio El Raval,Distrito Ciutat Vella,"Área de Barcelona, Barcelona",1200,1200,30,0,1,1,0,segunda mano/buen estado,1870.0,0,1,1,6,1,1,1,1,||aire acondicionado||||consumo: |96 kwh/m² año|||emisiones: |16 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,8001,Anuncio actualizado hace 51 minutos,Anuncio actualizado el 11 de abril,2023-04-11,Distrito Ciutat Vella
100156248,Alquiler de Piso en El Raval,"Ciutat Vella, Barcelona","|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona",,Barrio El Raval,Barrio El Raval,Distrito Ciutat Vella,"Área de Barcelona, Barcelona",1600,1600,70,2,2,0,1,segunda mano/buen estado,,1,1,1,4,1,1,0,1,||aire acondicionado|||zonas verdes||||consumo: |35 kwh/m² año|||emisiones: |1 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,8001,Anuncio actualizado hace 3 horas,Anuncio actualizado el 11 de abril,2023-04-11,Distrito Ciutat Vella
101072005,Alquiler de Piso en Sant Vicenç,"El Raval, Barcelona","Sant Vicenç|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona",Sant Vicenç,Barrio El Raval,Barrio El Raval,Distrito Ciutat Vella,"Área de Barcelona, Barcelona",1100,1100,45,1,1,0,1,segunda mano/buen estado,1870.0,1,1,1,3,0,0,1,1,||aire acondicionado||||en trámite|||,8001,Anuncio actualizado hace 2 horas,Anuncio actualizado el 11 de abril,2023-04-11,Distrito Ciutat Vella
101043106,Alquiler de Piso en calle de la Paloma,"El Raval, Barcelona","Calle de la Paloma|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona",Calle de la Paloma,Barrio El Raval,Barrio El Raval,Distrito Ciutat Vella,"Área de Barcelona, Barcelona",1550,1550,70,2,2,0,0,segunda mano/buen estado,2020.0,1,1,1,3,1,1,1,1,||aire acondicionado||||consumo: |95 kwh/m² año|||emisiones: |75 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,8001,Anuncio actualizado hace 3 horas,Anuncio actualizado el 11 de abril,2023-04-11,Distrito Ciutat Vella
101071221,Alquiler de Piso en El Raval,"Ciutat Vella, Barcelona","|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona",,Barrio El Raval,Barrio El Raval,Distrito Ciutat Vella,"Área de Barcelona, Barcelona",875,875,52,1,1,0,1,segunda mano/buen estado,1845.0,0,1,1,1,0,0,0,1,||consumo: ||||emisiones: ||||ver etiqueta de calificación energética|ocultar etiqueta|||||||,8001,Anuncio actualizado hace 3 horas,Anuncio actualizado el 11 de abril,2023-04-11,Distrito Ciutat Vella
100940872,Alquiler de Piso en calle del Bisbe Laguarda,"El Raval, Barcelona","Calle del Bisbe Laguarda|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona",Calle del Bisbe Laguarda,Barrio El Raval,Barrio El Raval,Distrito Ciutat Vella,"Área de Barcelona, Barcelona",1390,1390,80,3,2,0,1,segunda mano/buen estado,1900.0,1,1,1,3,1,1,1,1,||aire acondicionado||||consumo: |158 kwh/m² año|||emisiones: |33 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,8001,Anuncio actualizado hace 3 horas,Anuncio actualizado el 11 de abril,2023-04-11,Distrito Ciutat Vella
