"","id","name","zone","ubicacion_full","calle","barrio","barrio2","distrito","area","price","price_before","square_mt","rooms","wc","terraza","balcon","estado","año","armarios","cocina","amueblado","planta","calef","asc","aire","exterior","datalles2","cp","actualizacion","actualizacion2","extract_day","distrito2","regex_barris","key_open","key_shp","casa","estudio","wc2","rooms2","log_price","terraza_balcon"
"11",90701780,"Alquiler de Piso en calle d'En Sant Climent","El Raval, Barcelona","Calle d'En Sant Climent||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","Calle d'En Sant Climent","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",780,780,42,1,1,0,1,"segunda mano/buen estado",1900,0,1,0,2,1,0,1,1,"||aire acondicionado||||consumo: |117 kwh/m² año|||emisiones: |29 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace una hora","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,0,"1","1",6.65929391968364,1
"12",99356320,"Alquiler de Piso en El Raval","Ciutat Vella, Barcelona","||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",850,850,45,1,1,0,0,"segunda mano/buen estado",1870,0,1,1,3,0,0,0,1,"||consumo: |161 kwh/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 2 horas","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,0,"1","1",6.74523634948436,0
"13",94800179,"Alquiler de Piso en calle Nou de la Rambla, 4","El Raval, Barcelona","Calle Nou de la Rambla, 4||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","Calle Nou de la Rambla, 4","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",950,950,40,1,1,0,0,"segunda mano/buen estado",NA,1,1,1,1,1,0,1,1,"||aire acondicionado||||consumo: |280 kwh/m² año|||emisiones: ||||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace una hora","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,0,"1","1",6.85646198459459,0
"14",99377936,"Alquiler de Piso en calle de Sant Pau","El Raval, Barcelona","Calle de Sant Pau||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","Calle de Sant Pau","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",1080,1150,38,1,1,0,1,"segunda mano/buen estado",2015,1,1,1,1,0,0,1,1,"||aire acondicionado||||consumo: |139 kwh/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 2 horas","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,0,"1","1",6.98471632011827,1
"15",99567619,"Alquiler de Piso en plaza de Joan Coromines","El Raval, Barcelona","Plaza de Joan Coromines||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","Plaza de Joan Coromines","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",1050,1050,58,2,1,0,1,"segunda mano/buen estado",1900,1,1,0,1,0,0,0,0,"||en trámite|||",8001,"Anuncio actualizado hace 5 horas","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,0,"1","2",6.95654544315157,1
"16",99405774,"Alquiler de Piso en calle de Picalquers","El Raval, Barcelona","Calle de Picalquers||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","Calle de Picalquers","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",850,850,40,1,1,0,0,"segunda mano/buen estado",NA,0,1,1,1,1,0,0,1,"||consumo: |161 kwh/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 2 horas","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,0,"1","1",6.74523634948436,0
"17",99565786,"Alquiler de Piso en calle de la Junta de Comerç","El Raval, Barcelona","Calle de la Junta de Comerç||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","Calle de la Junta de Comerç","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",1150,1150,65,2,1,0,0,"segunda mano/buen estado",NA,0,1,1,2,0,1,1,0,"||aire acondicionado||||en trámite|||",8001,"Anuncio actualizado hace 6 horas","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,0,"1","2",7.0475172213573,0
"18",99408616,"Alquiler de Piso en El Raval","Ciutat Vella, Barcelona","||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",1650,1800,62,2,1,0,0,"segunda mano/buen estado",2007,1,1,1,0,1,1,0,1,"||aire acondicionado|||piscina|||zonas verdes||||consumo: |139 kwh/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 2 horas","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,0,"1","2",7.40853056689463,0
"19",99565778,"Alquiler de Estudio en calle de Joaquín Costa","El Raval, Barcelona","Calle de Joaquín Costa||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","Calle de Joaquín Costa","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",950,950,50,0,1,0,1,"segunda mano/buen estado",NA,0,1,1,2,0,1,1,0,"||aire acondicionado||||en trámite|||",8001,"Anuncio actualizado hace 6 horas","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,1,"1","1",6.85646198459459,1
"20",99553637,"Alquiler de Piso en calle de la Paloma","El Raval, Barcelona","Calle de la Paloma||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","Calle de la Paloma","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",1550,1550,70,2,2,0,0,"segunda mano/buen estado",2019,1,1,1,2,1,1,1,0,"||aire acondicionado||||consumo: |85 kwh/m² año|||emisiones: |75 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 4 horas","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,0,"2","2",7.34601020991329,0
