"","id","name","zone","ubicacion_full","calle","barrio","barrio2","distrito","area","price","price_before","square_mt","rooms","wc","terraza","balcon","estado","año","armarios","cocina","amueblado","planta","calef","asc","aire","exterior","datalles2","cp","actualizacion","actualizacion2","extract_day","distrito2","regex_barris","key_open","key_shp","casa","lujo","estudio","wc2","rooms2","log_price","terraza_balcon","flag_planta","new_planta"
"1",101286549,"Alquiler de Piso en calle de Sant Gil","El Raval, Barcelona","Calle de Sant Gil|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona","Calle de Sant Gil","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",850,850,42,2,1,0,1,"segunda mano/buen estado",1925,0,0,0,"planta 5",0,0,0,1,"||consumo: |206 kwh/m² año|||emisiones: |41 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 8 minutos","Anuncio actualizado el 3 de mayo","2023-05-03","Distrito Ciutat Vella","raval","raval","raval","0","0","0","1","2",6.74523634948436,1,0,5
"2",100686561,"Alquiler de Piso en calle de Pelai","La Dreta de l'Eixample, Barcelona","Calle de Pelai|Barrio La Dreta de l'Eixample|Distrito Eixample|Barcelona|Área de Barcelona, Barcelona","Calle de Pelai","Barrio La Dreta de l'Eixample","Barrio La Dreta de l'Eixample","Distrito Eixample","Área de Barcelona, Barcelona",2600,2600,150,4,3,0,1,"segunda mano/buen estado",NA,1,0,0,"planta 2",0,1,1,1,"||aire acondicionado||||consumo: |88 kwh/m² año|||emisiones: |16 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 35 minutos","Anuncio actualizado el 3 de mayo","2023-05-03","Distrito Eixample","dreta eixample","dreta eixample","dreta eixample","0","0","0","3","4 o mas",7.86326672400957,1,0,2
"3",101285858,"Alquiler de Piso en ronda de Sant Pau, 10","El Raval, Barcelona","Ronda de Sant Pau, 10|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona","Ronda de Sant Pau, 10","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",1500,1500,75,4,1,0,1,"segunda mano/buen estado",NA,1,1,1,"planta 3",1,0,1,1,"||aire acondicionado||||consumo: |48 kwh/m² año|||emisiones: |128 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 47 minutos","Anuncio actualizado el 3 de mayo","2023-05-03","Distrito Ciutat Vella","raval","raval","raval","0","0","0","1","4 o mas",7.3132203870903,1,0,3
"4",101277375,"Alquiler de Piso en calle dels Tallers","El Raval, Barcelona","Calle dels Tallers|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona","Calle dels Tallers","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",1700,1700,99,2,1,0,1,"segunda mano/buen estado",1900,1,1,1,"planta 2",1,0,1,1,"||aire acondicionado||||consumo: ||||emisiones: ||||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 35 minutos","Anuncio actualizado el 3 de mayo","2023-05-03","Distrito Ciutat Vella","raval","raval","raval","0","0","0","1","2",7.43838353004431,1,0,2
"5",101283703,"Alquiler de Piso en calle de Sant Pau","El Raval, Barcelona","Calle de Sant Pau|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona","Calle de Sant Pau","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",1200,1200,70,2,1,0,1,"segunda mano/buen estado",NA,1,0,0,"planta 1",0,1,0,1,"||consumo: |100 kwh/m² año|||emisiones: |10 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 13 horas","Anuncio actualizado el 2 de mayo","2023-05-03","Distrito Ciutat Vella","raval","raval","raval","0","0","0","1","2",7.09007683577609,1,0,1
"6",92287788,"Alquiler de Piso en Passatge de Sant Bernat","El Raval, Barcelona","Passatge de Sant Bernat|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona","Passatge de Sant Bernat","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",1200,1200,65,1,1,0,0,"segunda mano/buen estado",1982,1,1,1,"planta 3",1,1,0,1,"||consumo: |150 kwh/m² año|||emisiones: |50 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 5 horas","Anuncio actualizado el 3 de mayo","2023-05-03","Distrito Ciutat Vella","raval","raval","raval","0","0","0","1","1",7.09007683577609,0,0,3
"7",94286517,"Alquiler de Piso en Gravina","El Raval, Barcelona","Gravina|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona","Gravina","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",3200,3200,82,2,2,0,1,"segunda mano/buen estado",1890,1,1,1,"0",1,1,1,1,"||aire acondicionado||||en trámite|||",8001,"Anuncio actualizado hace 13 horas","Anuncio actualizado el 2 de mayo","2023-05-03","Distrito Ciutat Vella","raval","raval","raval","0","0","0","2","2",8.07090608878782,1,1,0
"8",96525984,"Alquiler de Piso en calle de l'Hort de la Bomba","El Raval, Barcelona","Calle de l'Hort de la Bomba|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona","Calle de l'Hort de la Bomba","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",1325,1325,86,2,2,0,0,"segunda mano/buen estado",1853,1,1,1,"bajo",1,0,1,1,"||aire acondicionado||||consumo: |26 kwh/m² año|||emisiones: |22 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 8 horas","Anuncio actualizado el 3 de mayo","2023-05-03","Distrito Ciutat Vella","raval","raval","raval","0","0","0","2","2",7.18916773842032,0,0,0
"9",101280197,"Alquiler de Piso en calle Nou de la Rambla, 23","El Raval, Barcelona","Calle Nou de la Rambla, 23|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona","Calle Nou de la Rambla, 23","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",1300,1300,70,2,1,0,1,"",NA,0,1,1,"planta 3",0,1,0,1,"||no indicado|||",8001,"Anuncio actualizado hace 15 horas","Anuncio actualizado el 2 de mayo","2023-05-03","Distrito Ciutat Vella","raval","raval","raval","0","0","0","1","2",7.17011954344963,1,0,3
"10",96311359,"Alquiler de Piso en calle de la Reina Amàlia","El Raval, Barcelona","Calle de la Reina Amàlia|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona","Calle de la Reina Amàlia","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",1800,1800,80,2,2,0,0,"segunda mano/buen estado",NA,0,1,1,"0",1,1,0,1,"||aire acondicionado|||piscina|||zonas verdes||||consumo: |36 kwh/m² año|||emisiones: |6 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 8 horas","Anuncio actualizado el 3 de mayo","2023-05-03","Distrito Ciutat Vella","raval","raval","raval","0","0","0","2","2",7.49554194388426,0,1,0
