id,name,zone,ubicacion_full,distrito2,calle,barrio,barrio2,distrito,area,price,price_before,square_mt,rooms,wc,terraza,balcon,estado,año,armarios,cocina,amueblado,planta,calef,asc,aire,exterior,datalles2,cp,actualizacion,actualizacion2,extract_day
100883413,Alquiler de Piso en Sagaro s/n,"La Trinitat Nova, Barcelona","SAGARO s/n||Barrio La Trinitat Nova||Distrito Nou Barris||Barcelona||Área de Barcelona, Barcelona",Distrito Nou Barris,SAGARO s/n,Barrio La Trinitat Nova,Barrio La Trinitat Nova,Distrito Nou Barris,"Área de Barcelona, Barcelona",950,950,52,3,1,0,1,segunda mano/buen estado,1970,1,1,0,3,1,0,0,1,||consumo: ||||emisiones: ||||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08033,Anuncio actualizado hace 4 días,Anuncio actualizado el 22 de marzo,2023-03-26
100413230,Alquiler de Piso en via de Bàrcino,"La Trinitat Vella, Barcelona","Via de Bàrcino||Barrio La Trinitat Vella||Distrito Sant Andreu||Barcelona||Área de Barcelona, Barcelona",Distrito Sant Andreu,Via de Bàrcino,Barrio La Trinitat Vella,Barrio La Trinitat Vella,Distrito Sant Andreu,"Área de Barcelona, Barcelona",890,890,62,3,1,0,0,segunda mano/buen estado,1955,0,1,0,2,0,0,0,1,||consumo: ||||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08033,Anuncio actualizado hace un día,Anuncio actualizado el 25 de marzo,2023-03-26
100008501,Alquiler de Piso en calle de s'Agaró,"La Trinitat Nova, Barcelona","Calle de s'Agaró||Barrio La Trinitat Nova||Distrito Nou Barris||Barcelona||Área de Barcelona, Barcelona",Distrito Nou Barris,Calle de s'Agaró,Barrio La Trinitat Nova,Barrio La Trinitat Nova,Distrito Nou Barris,"Área de Barcelona, Barcelona",950,950,50,3,1,0,0,segunda mano/buen estado,1963,0,0,0,3,0,0,0,1,||consumo: ||||emisiones: ||||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08033,Anuncio actualizado hace 4 días,Anuncio actualizado el 22 de marzo,2023-03-26
100846301,Alquiler de Piso en calle Alt,"La Trinitat Vella, Barcelona","Calle Alt||Barrio La Trinitat Vella||Distrito Sant Andreu||Barcelona||Área de Barcelona, Barcelona",Distrito Sant Andreu,Calle Alt,Barrio La Trinitat Vella,Barrio La Trinitat Vella,Distrito Sant Andreu,"Área de Barcelona, Barcelona",1550,1550,80,3,2,1,1,segunda mano/buen estado,,0,0,0,3,1,1,1,1,||aire acondicionado||||consumo: |150 kwh/m² año|||emisiones: |50 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08033,Anuncio actualizado hace 2 días,Anuncio actualizado el 24 de marzo,2023-03-26
99808771,Alquiler de Piso en Agudes,"Ciutat Meridiana - Torre Baró - Vallbona, Barcelona","AGUDES||Barrio Ciutat Meridiana - Torre Baró - Vallbona||Distrito Nou Barris||Barcelona||Área de Barcelona, Barcelona",Distrito Nou Barris,AGUDES,Barrio Ciutat Meridiana - Torre Baró - Vallbona,Barrio Ciutat Meridiana - Torre Baró - Vallbona,Distrito Nou Barris,"Área de Barcelona, Barcelona",1035,1035,62,2,1,0,0,segunda mano/buen estado,,0,0,0,4,0,0,0,1,||consumo: |193 kwh/m² año|||emisiones: |39 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08033,Anuncio actualizado hace más de 3 meses,Anuncio actualizado el 1 de diciembre,2023-03-26
100645677,"Alquiler de Piso en calle d'Empúries, 9","La Trinitat Nova, Barcelona","Calle d'Empúries, 9||Barrio La Trinitat Nova||Distrito Nou Barris||Barcelona||Área de Barcelona, Barcelona",Distrito Nou Barris,"Calle d'Empúries, 9",Barrio La Trinitat Nova,Barrio La Trinitat Nova,Distrito Nou Barris,"Área de Barcelona, Barcelona",790,790,54,2,1,0,0,segunda mano/buen estado,,0,1,1,4,0,0,0,1,||consumo: ||||emisiones: ||||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08033,Anuncio actualizado hace 14 horas,Anuncio actualizado el 26 de marzo,2023-03-26
